id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,ingredients,rating,record_id_hash,source_system,user_id
2454.0,  5150  ,U.S.A.,2019.0,,"Kokoa Kamili, batch 1",76.0,3.0,"B,S,C",3.0,NOISE_145,4534,3517
2458.0,5150,U.S.A.,2019.0,Dominican Republic,"  Zorzal, batch 1  ",76.0,3.0,,,NOISE_959,2998,1961
2454.0,5150,U.S.A.,2019.0,Madagascar,"Bejofo Estate, batch 1",76.0,3.0,"B,S,C",4.0,NOISE_789,5495,4933
2542.0,5150,U.S.A.,2021.0,Fiji,"Matasawalevu, batch 1",68.0,3.0,"B,S,C",3.0,NOISE_740,9026,3666
2546.0,5150,U.S.A.,2021.0,Venezuela,"Sur del Lago, batch 1",72.0,3.0,"B,S,C",3.0,NOISE_622,7884,7184
2546.0,5150,U.S.A.,2021.0,Uganda,"  Semuliki Forest, batch 1  ",80.0,3.0,"B,S,C",3.0,NOISE_337,1803,1199
2542.0,5150,U.S.A.,2021.0,India,"Anamalai, batch 1",68.0,3.0,"B,S,C",4.0,NOISE_557,4599,8002
797.0,A. Morin,France,2012.0,Bolivia,  Bolivia  ,70.0,4.0,"['B','S','C','L']",,NOISE_750,7912,2245
797.0,A. Morin,France,2012.0,Peru,Peru,63.0,4,"B,S,C,L",4.0,NOISE_380,8012,5401
1011.0,  A. Morin  ,FRANCE,2013.0,Panama,Panama,70.0,4.0,"B,S,C,L",3.0,NOISE_551,2829,2764
1015.0,A. Morin,France,2013.0,Colombia,Colombie,70.0,4.0,"B,S,C,L",3.0,NOISE_740,2121,7269
1011.0,A. Morin,France,2013.0,Madagascar,"Madagascar, Criollo",70.0,4.0,"B,S,C,L",3.0,NOISE_135,6668,3980
1015.0,A. Morin,France,2013.0,Burma,Birmanie,70.0,4.0,"B,S,C,L",3.0,NOISE_817,4448,6110
1011.0,A. Morin,France,2013.0,Brazil,Brazil,70.0,4.0,"B,S,C,L",3.0,NOISE_754,8541,9728
1015.0,A. Morin,France,2013.0,Papua New Guinea,Papua New Guinea,70.0,4.0,"B,S,C,L",3.0,NOISE_975,6675,4486
1019.0,A. Morin,FRANCE,2013.0,Peru,  Piura  ,70.0,4.0,"B,S,C,L",3.0,NOISE_825,9242,3522
1019.0,A. Morin,France,2013.0,Peru,Chanchamayo Province,70.0,4.0,"B,S,C,L",4.0,NOISE_354,2472,1340
1011.0,A. Morin,France,2013.0,Ecuador,Equateur,70.0,4.0,"B,S,C,L",4.0,NOISE_166,5737,8754
1015.0,A. Morin,France,2013.0,Venezuela,  Chuao  ,70.0,4.0,"B,S,C,L",,NOISE_869,2885,3486
1019.0,A. Morin,France,2013.0,Peru,Chanchamayo Province,63.0,3.0,"B,S,C",4.0,NOISE_849,1124,5200
1315.0,A. Morin,France,2014.0,Venezuela,"Carenero, Criollo",70.0,4.0,,3.0,NOISE_195,9976,4095
1315.0,nan,France,2014.0,Cuba,Cuba,70.0,4.0,"['B','S','C','L']",4.0,NOISE_499,8499,8226
1315.0,  A. Morin  ,France,2014.0,Venezuela,"Sur del Lago, Criollo",70.0,4.0,"B,S,C,L",4.0,NOISE_540,4206,9671
1319.0,A. Morin,France,2014.0,,"Puerto Cabello, Criollo",70.0,4.0,"B,S,C,L",4.0,NOISE_886,5803,7103
