ID,Gender,Age,Customer_Type,Type_of_Travel,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Rating,user_id,batch_id,processing_date
1.0,Male,,First-time,  Business  ,Business,821,2 years,5.0,3.0,1368,6702,NOISE_657
2.0,Female,35,Returning,Business,Business,821,26,39.0,2.0,5334,1432,NOISE_580
3.0,Male,41.0,Returning,Business,Business,853,0,0.0,4.0,9793,6401,NOISE_656
4.0,Male,50.0,Returning,  Business  ,Business,"1,905",0,0.0,2.0,8369,3749,NOISE_902
5.0,Female,49.0,returning,Business,Business,3470,0,1.0,,8695,3820,NOISE_439
6.0,Male,43.0,RETURNING,Business,  Business  ,3788,0,0.0,4.0,3766,4646,NOISE_941
7.0,Male,43.0,Returning,Business,  Business  ,1963,0,0.0,,9412,2002,NOISE_228
8.0,Female,60.0,nan,Business,Business,853,0,3.0,3.0,4727,1657,NOISE_109
9.0,Male,50.0,Returning,Business,Business,2607,0,0.0,1.0,6681,2816,NOISE_987
10.0,M,38.0,Returning,  Business  ,  Business  ,2822,13,0.0,2.0,6660,7454,NOISE_652
11.0,Female,28.0,First-time,Business,Business,821,0,5.0,1.0,1500,5649,NOISE_176
12.0,Female,,First time,BUSINESS,Business,421,20,21.0,2.0,3243,9341,NOISE_837
13.0,Male,24.0,nan,Business,Economy,453,16,30.0,2.0,5927,1455,NOISE_597
14.0,Male,9.0,Returning,Personal,Business,853,68,76.0,5.0,6644,8703,NOISE_320
15.0,Male,52.0,Returning,Personal,Economy,853,0,0.0 years,4.0,6032,5013,NOISE_224
16.0,Male,70.0,Returning,  personal  ,  Economy  ,821,0,0,5.0,8651,6994,NOISE_811
17.0,Female,48.0,Returning,Personal,economy,821,0,0.0,3.0,2447,3749,NOISE_472
18.0,Female,61.0,Returning,Personal,ECONOMY,821,0,0.0,5.0,1187,5310,NOISE_655
19.0,Female,11.0,Returning,Personal,  Economy  ,853,0,0.0,5.0,6273,9529,NOISE_598
20.0,Female,42.0,nan,PERSONAL,Economy,821,4,0.0,3.0,3407,7271,NOISE_725
21.0,Female,14.0 years,RETURNING,  Personal  ,Economy,853,12,1.0,1.0,5621,8443,NOISE_101
22.0,Female,70.0,Returning,  Personal  ,Economy,853,0,0.0,4.0,4278,8694,NOISE_203
