id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,ingredients,rating
2454,5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",76,3,"B,S,C",3
2458,5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",76,3,"B,S,C",4
2454,5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",76,3,"B,S,C",4
2542,5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",68,3,"B,S,C",3
2546,5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",72,3,"B,S,C",3
2546,5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",80,3,"B,S,C",3
2542,5150,U.S.A.,2021,India,"Anamalai, batch 1",68,3,"B,S,C",4
797,A. Morin,France,2012,Bolivia,Bolivia,70,4,"B,S,C,L",4
797,A. Morin,France,2012,Peru,Peru,63,4,"B,S,C,L",4
1011,A. Morin,France,2013,Panama,Panama,70,4,"B,S,C,L",3
1015,A. Morin,France,2013,Colombia,Colombie,70,4,"B,S,C,L",3
1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70,4,"B,S,C,L",3
1015,A. Morin,France,2013,Burma,Birmanie,70,4,"B,S,C,L",3
1011,A. Morin,France,2013,Brazil,Brazil,70,4,"B,S,C,L",3
1015,A. Morin,France,2013,Papua New Guinea,Papua New Guinea,70,4,"B,S,C,L",3
1019,A. Morin,France,2013,Peru,Piura,70,4,"B,S,C,L",3
1019,A. Morin,France,2013,Peru,Chanchamayo Province,70,4,"B,S,C,L",4
1011,A. Morin,France,2013,Ecuador,Equateur,70,4,"B,S,C,L",4
1015,A. Morin,France,2013,Venezuela,Chuao,70,4,"B,S,C,L",4
1019,A. Morin,France,2013,Peru,Chanchamayo Province,63,3,"B,S,C",4
1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70,4,"B,S,C,L",3
1315,A. Morin,France,2014,Cuba,Cuba,70,4,"B,S,C,L",4
1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70,4,"B,S,C,L",4
1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70,4,"B,S,C,L",4
1319,A. Morin,France,2014,Peru,Pablino,70,4,"B,S,C,L",4
1676,A. Morin,France,2015,Togo,Kpime,70,4,"B,S,C,L",3
1676,A. Morin,France,2015,Togo,Atsane,70,4,"B,S,C,L",3
1680,A. Morin,France,2015,Togo,Akata,70,4,"B,S,C,L",4
1704,A. Morin,France,2015,Peru,Quilla,70,4,"B,S,C,L",4
1876,A. Morin,France,2016,Sao Tome,Agua Grande,63,4,"B,S,C,L",4
2206,A. Morin,France,2018,Venezuela,Porcelana,70,4,"B,S,C,L",4
2206,A. Morin,France,2018,Peru,Absolu,63,4,"B,S,C,L",4
2648,A. Morin,France,2021,Mexico,La Joya,70,4,"B,S,C,L",4
1462,Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",70,2,"B,S",4
1470,Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",70,2,"B,S",4
2462,Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",74,2,"B,S",3
2470,Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70,2,"B,S",4
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60,3,"B,S,C",3
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80,3,"B,S,C",3
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88,3,"B,S,C",4
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72,3,"B,S,C",4
2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70,2,"B,S",2
2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70,2,"B,S",3
2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70,2,"B,S",3
2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70,2,"B,S",3
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55,4,"B,S,C,V",3
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70,4,"B,S,C,V",3
316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70,3,"B,S,C",3
502,Akesson's (Pralus),U.K.,2010,Madagascar,"Madagascar, Ambolikapiky P.",75,4,"B,S,C,L",3
508,Akesson's (Pralus),U.K.,2010,Brazil,"Monte Alegre, D. Badero",75,4,"B,S,C,L",3
636,Akesson's (Pralus),U.K.,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75,4,"B,S,C,L",4
1061,Alain Ducasse,France,2013,Venezuela,Chuao,75,5,"B,S,C,V,L",2
1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75,5,"B,S,C,V,L",2
1215,Alain Ducasse,France,2014,Trinidad,Trinite,65,6,"B,S,C,V,L,Sa",3
1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75,5,"B,S,C,V,Sa",3
1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75,5,"B,S,C,V,Sa",3
1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75,6,"B,S,C,V,L,Sa",4
1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70,3,"B,S,C",4
1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70,3,"B,S,C",4
1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70,3,"B,S,C",4
1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70,3,"B,S,C",4
1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,60,4,"B,S,C,L",2
1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",60,4,"B,S,C,L",3
1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",60,4,"B,S,C,L",3
1129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",80,4,"B,S,C,L",3
