ID,Gender,Age,Customer_Type,Type_of_Travel,Class,Flight_Distance,Departure_Delay,Arrival_Delay,Rating
1,Male,48,First-time,Business,Business,821,2,5,3
2,Female,35,Returning,Business,Business,821,26,39,2
3,Male,41,Returning,Business,Business,853,0,0,4
4,Male,50,Returning,Business,Business,1905,0,0,2
5,Female,49,Returning,Business,Business,3470,0,1,3
6,Male,43,Returning,Business,Business,3788,0,0,4
7,Male,43,Returning,Business,Business,1963,0,0,3
8,Female,60,Returning,Business,Business,853,0,3,3
9,Male,50,Returning,Business,Business,2607,0,0,1
10,Female,38,Returning,Business,Business,2822,13,0,2
11,Female,28,First-time,Business,Business,821,0,5,1
12,Female,27,First-time,Business,Business,421,20,21,2
13,Male,24,First-time,Business,Economy,453,16,30,2
14,Male,9,Returning,Personal,Business,853,68,76,5
15,Male,52,Returning,Personal,Economy,853,0,0,4
16,Male,70,Returning,Personal,Economy,821,0,0,5
17,Female,48,Returning,Personal,Economy,821,0,0,3
18,Female,61,Returning,Personal,Economy,821,0,0,5
19,Female,11,Returning,Personal,Economy,853,0,0,5
20,Female,42,null,Personal,Economy,821,4,0,3
21,Female,14,Returning,Personal,Economy,853,12,1,1
22,Female,70,Returning,Personal,Economy,853,0,0,4
23,Female,56,Returning,Personal,Economy,821,0,0,4
24,Male,77,Returning,Business,Economy Plus,821,0,0,5
25,Male,51,Returning,Business,Business,3460,0,2,3
26,Male,47,Returning,Business,Business,1676,0,15,4
27,Male,50,Returning,Business,Business,2168,6,24,3
28,Male,58,Returning,Business,Business,2867,0,0,5
29,Male,40,Returning,Business,Business,3734,0,52,4
30,Male,48,Returning,Business,Business,3088,0,12,4
31,Male,35,First-time,Business,Business,212,0,0,2
32,Male,21,First-time,Business,Economy,173,0,0,0
33,Female,33,null,Business,Business,173,22,28,2
34,Female,48,Returning,Business,Business,173,0,0,5
35,Male,39,Returning,Business,Business,1672,23,17,2
36,Female,42,Returning,Business,Business,2884,0,0,2
37,Female,54,Returning,Business,Business,212,12,26,4
38,Female,51,Returning,Business,Business,215,0,0,4
39,Female,46,Returning,Business,Business,67,0,0,3
40,Male,51,Returning,Business,Business,212,0,0,2
41,Female,54,Returning,Business,Business,1554,59,70,2
42,Female,45,Returning,Business,Business,108,0,0,4
43,Female,54,Returning,Business,Business,1584,0,8,2
44,Male,51,Returning,Business,Business,2077,0,1,1
45,Male,56,Returning,Business,Business,173,30,14,5
46,Female,23,First-time,Business,Economy,173,16,13,0
47,Male,24,First-time,Business,Business,108,0,0,4
48,Female,40,First-time,Business,Business,212,29,41,3
49,Male,20,First-time,Business,Economy,108,0,29,5
50,Male,27,First-time,Business,Business,108,0,0,4
51,Male,44,Returning,Business,Business,1859,0,0,2
52,Female,20,First-time,Business,Economy,67,2,10,0
53,Male,37,First-time,Business,Business,212,4,1,3
54,Male,40,Returning,Business,Business,2853,0,0,3
55,Male,36,Returning,Business,Business,3655,40,71,1
56,Female,56,Returning,Business,Business,2485,0,0,2
57,Female,56,Returning,Business,Business,67,0,0,1
58,Female,43,Returning,Business,Business,2199,0,0,5
59,Female,41,Returning,Business,Business,3997,1,0,1
60,Male,57,Returning,Business,Business,3392,19,34,1
61,Male,42,Returning,Business,Business,3391,0,0,3
62,Male,31,Returning,Business,Economy,173,151,186,5
63,Female,37,Returning,Business,Business,2423,0,8,4
64,Male,56,Returning,Business,Business,173,0,3,1
65,Male,24,First-time,Business,Economy,108,0,0,0
66,Male,36,Returning,Business,Business,173,12,8,5
67,Male,50,Returning,Business,Business,67,0,0,4
68,Male,43,Returning,Business,Business,173,0,0,5
69,Male,52,Returning,Business,Business,212,0,67,1
70,Female,49,Returning,Business,Business,3213,68,59,3
71,Female,47,First-time,Business,Economy,173,0,14,4
72,Male,53,Returning,Business,Business,3201,7,24,2
73,Male,70,Returning,Business,Economy,173,0,0,5
74,Female,25,First-time,Business,Economy,212,10,1,2
75,Female,23,First-time,Business,Economy,108,0,0,5
76,Male,55,First-time,Business,Economy,108,0,0,0
77,Female,72,First-time,Business,Economy,67,324,296,3
78,Male,58,Returning,Personal,Economy,173,0,4,4
79,Female,70,Returning,Personal,Economy,108,50,41,4
80,Female,46,Returning,Personal,Economy,173,45,29,1
81,Female,19,Returning,Personal,Economy,215,0,0,3
82,Male,39,Returning,Personal,Economy,108,0,7,2
83,Male,58,Returning,Personal,Economy,215,254,254,2
84,Female,9,Returning,Personal,Economy,173,0,0,3
85,Male,53,null,Personal,Economy,173,0,0,1
86,Female,27,Returning,Personal,Economy,212,0,13,0
87,Male,65,Returning,Personal,Economy,67,1,0,5
88,Female,52,Returning,Personal,Economy,67,2,0,5
89,Female,53,Returning,Personal,Economy,108,0,0,2
90,Male,41,Returning,Business,Business,2865,72,78,2
91,Female,32,First-time,Business,Business,173,0,5,4
92,Female,50,Returning,Business,Business,2035,0,34,5
93,Female,43,Returning,Business,Business,3513,101,123,2
94,Male,80,Returning,Business,Economy Plus,108,0,0,4
95,Female,7,Returning,Personal,Economy Plus,173,18,35,5
96,Female,34,Returning,Personal,Economy Plus,173,0,0,4
97,Female,18,First-time,Business,Economy Plus,215,0,0,5
98,Male,44,null,Business,Business,562,0,11,4
99,Female,52,Returning,Business,Business,562,27,18,5
